route_id,time_s,provider,margin_dB,运输架次编号,保障主体
K000002,480.0,G01,45.92517525248826,Q3-T001,G01
K000002,575.3591357421875,G01,35.16080841557533,Q3-T001,G01
K000002,575.3591357421875,G01,35.16080841557533,Q3-T001,G01
K000002,787.7723925655769,G01,1.8599604785582076,Q3-T001,G01
K000002,787.7723925655769,G01,1.8599604785582076,Q3-T001,G01
K000002,813.4213122433113,G01,1.8683888800624544,Q3-T001,G01
K000002,813.4213122433113,G01,1.8683888800624544,Q3-T001,G01
K000002,1209.4213122433111,G01,1.8683888800624544,Q3-T001,G01
K000002,1209.4213122433111,G01,1.8683888800624544,Q3-T001,G01
K000002,1229.9404479854986,G01,1.8599604785582076,Q3-T001,G01
K000002,1229.9404479854986,G01,1.8599604785582076,Q3-T001,G01
K000002,1442.353704808888,G01,35.16080841557533,Q3-T001,G01
K000002,1442.353704808888,G01,35.16080841557533,Q3-T001,G01
K000002,1561.5526244866223,G01,45.92517525248826,Q3-T001,G01
K000004,390.0,G01,45.92517525248826,Q3-T003,G01
K000004,544.7491292317709,G01,28.99327751164469,Q3-T003,G01
K000004,544.7491292317709,G01,28.99327751164469,Q3-T003,G01
K000004,754.9322580434143,G01,1.8866083148087116,Q3-T003,G01
K000004,802.8222863718546,G01,0.1322706160077018,Q3-T003,G01
K000004,806.8341108106792,G01,0.0,Q3-T003,G01
K000004,854.4369177998714,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,880.2442335138797,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,906.0515492278872,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,906.0515492278872,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,906.051549227888,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,938.1778675872632,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,970.304185946638,Q3-R004,0.6610676481568447,Q3-T003,Q3-R001
K000004,1002.4305043060124,Q3-R004,0.6127240211423555,Q3-T003,Q3-R001
K000004,1002.4305043060124,Q3-R004,0.6127240211423555,Q3-T003,Q3-R001
K000004,1242.4305043060124,Q3-R004,0.6127240211423555,Q3-T003,Q3-R001
K000004,1242.4305043060124,Q3-R004,0.6127240211423555,Q3-T003,Q3-R001
K000004,1269.2024362721588,Q3-R004,0.6610676481568447,Q3-T003,Q3-R001
K000004,1295.9743682383046,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,1322.74630020445,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,1322.74630020445,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,1322.7463002044503,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,1348.5536159184587,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,1374.360931632467,Q3-R004,3.674828985526801,Q3-T003,Q3-R001
K000004,1421.963738621658,G01,0.0,Q3-T003,G01
K000004,1425.975563060484,G01,0.1322706160077444,Q3-T003,G01
K000004,1473.8655913889222,G01,1.886608314808683,Q3-T003,G01
K000004,1684.0487202005663,G01,28.99327751164469,Q3-T003,G01
K000004,1684.0487202005663,G01,28.99327751164469,Q3-T003,G01
K000004,1869.7476752786915,G01,45.92517525248826,Q3-T003,G01
K001310,330.0,G01,45.92517525248826,Q3-T004,G01
K001310,378.4522033691407,G01,39.98283037714855,Q3-T004,G01
K001310,378.4522033691407,G01,39.98283037714855,Q3-T004,G01
K001310,632.9541706620554,G01,2.2410165102830177,Q3-T004,G01
K001310,632.9541706620554,G01,2.2410165102830177,Q3-T004,G01
K001310,668.5768147050242,G01,2.24771385877267,Q3-T004,G01
K001310,668.5768147050242,G01,2.24771385877267,Q3-T004,G01
K001310,848.5768147050242,G01,2.24771385877267,Q3-T004,G01
K001310,848.5768147050242,G01,2.24771385877267,Q3-T004,G01
K001310,878.2623514074982,G01,2.2410165102830177,Q3-T004,G01
K001310,878.2623514074982,G01,2.2410165102830177,Q3-T004,G01
K001310,1132.7643187004128,G01,39.98283037714855,Q3-T004,G01
K001310,1132.7643187004128,G01,39.98283037714855,Q3-T004,G01
K001310,1190.9069627433814,G01,45.92517525248826,Q3-T004,G01
K000003,390.0,G01,45.92517525248826,Q3-T002,G01
K000003,485.20033162434896,G01,33.46118121667772,Q3-T002,G01
K000003,485.20033162434896,G01,33.46118121667772,Q3-T002,G01
K000003,698.0612042976485,G01,1.8320849829547683,Q3-T002,G01
K000003,738.2303552059569,G01,0.339293238716607,Q3-T002,G01
K000003,748.3583560217763,G01,0.0,Q3-T002,G01
K000003,778.1824641925266,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,791.4998338547165,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,818.1345731790963,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,831.4519428412862,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,871.4040518278558,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,898.0387911522356,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,924.6735304766154,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,937.9909001388052,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,951.3082698009952,Q3-R004,3.5643574086552547,Q3-T002,Q3-R001
K000003,977.9430091253748,Q3-R004,2.8725129880391336,Q3-T002,Q3-R001
K000003,977.9430091253748,Q3-R004,2.8725129880391336,Q3-T002,Q3-R001
K000003,977.9430091253748,Q3-R004,2.8725129880391336,Q3-T002,Q3-R001
K000003,1004.6432080999843,Q3-R004,2.865474866407681,Q3-T002,Q3-R001
K000003,1031.3434070745936,Q3-R004,2.85654751095926,Q3-T002,Q3-R001
K000003,1031.3434070745936,Q3-R004,2.85654751095926,Q3-T002,Q3-R001
K000003,1271.3434070745936,Q3-R004,2.85654751095926,Q3-T002,Q3-R001
K000003,1271.3434070745936,Q3-R004,2.85654751095926,Q3-T002,Q3-R001
K000003,1293.593572886768,Q3-R004,2.865474866407681,Q3-T002,Q3-R001
K000003,1315.8437386989424,Q3-R004,2.8725129880391336,Q3-T002,Q3-R001
K000003,1315.8437386989426,Q3-R004,2.8725129880391336,Q3-T002,Q3-R001
K000003,1315.8437386989426,Q3-R004,2.8725129880391336,Q3-T002,Q3-R001
K000003,1342.478478023322,Q3-R004,3.5643574086552405,Q3-T002,Q3-R001
K000003,1355.7958476855115,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,1369.1132173477015,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,1395.747956672081,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,1422.3826959964606,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,1462.33480498303,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,1475.6521746452197,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,1502.2869139695993,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,1515.604283631789,Q3-R004,3.674828985526801,Q3-T002,Q3-R001
K000003,1545.428391802541,G01,0.0,Q3-T002,G01
K000003,1555.5563926183584,G01,0.3392932387165359,Q3-T002,G01
K000003,1595.7255435266688,G01,1.832084982954754,Q3-T002,G01
K000003,1808.5864161999684,G01,33.46118121667772,Q3-T002,G01
K000003,1808.5864161999684,G01,33.46118121667772,Q3-T002,G01
K000003,1922.8268141491872,G01,45.92517525248826,Q3-T002,G01
K000001,624.3974847701029,G01,45.92517525248826,Q3-T005,G01
K000001,696.8991864302592,G01,37.7955515486551,Q3-T005,G01
K000001,696.8991864302592,G01,37.7955515486551,Q3-T005,G01
K000001,850.1811921603559,G01,14.692816863377558,Q3-T005,G01
K000001,956.9530044707464,G01,0.1152700292846589,Q3-T005,G01
K000001,960.4330658467292,G01,0.0,Q3-T005,G01
K000001,1112.985295295039,Q3-R004,1.5778209041368,Q3-T005,Q3-R001
K000001,1164.9960589031364,Q3-R004,0.6128158924588263,Q3-T005,Q3-R001
K000001,1191.0014407071849,Q3-R004,0.1478925885104729,Q3-T005,Q3-R001
K000001,1191.0014407071849,Q3-R004,0.1478925885104729,Q3-T005,Q3-R001
K000001,1191.001440707185,Q3-R004,0.1478925885104729,Q3-T005,Q3-R001
K000001,1235.7285677823802,Q3-R001,0.3349273504995693,Q3-T005,Q3-R002
K000001,1235.7285677823802,Q3-R001,0.3349273504995693,Q3-T005,Q3-R002
K000001,1631.7285677823802,Q3-R001,0.3349273504995693,Q3-T005,Q3-R002
K000001,1631.7285677823802,Q3-R001,0.3349273504995693,Q3-T005,Q3-R002
