运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
Q3-T011,下降,5148.128317258087,5220.630018918243,直连,
Q3-T012,爬升,4142.306050013314,4190.758253382455,直连,
Q3-T012,巡航,4190.758253382455,4394.359827216787,直连,
Q3-T012,下降,4394.359827216787,4429.9824712597565,直连,
Q3-T012,物资投送,4429.9824712597565,4639.9824712597565,直连,
Q3-T012,爬升,4639.9824712597565,4669.66800796223,直连,
Q3-T012,巡航,4669.66800796223,4873.269581796562,直连,
Q3-T012,下降,4873.269581796562,4931.412225839531,直连,
Q3-T013,爬升,5196.613741916784,5370.255397190222,直连,
Q3-T013,巡航,5370.255397190222,5632.559668831527,直连,
Q3-T013,巡航,5632.559668831527,5854.510528374618,中继,Q3-R002
Q3-T013,下降,5854.510528374618,5966.162597466415,中继,Q3-R002
Q3-T013,物资投送,5966.162597466415,6362.162597466415,中继,Q3-R002
Q3-T013,爬升,6362.162597466415,6451.484252739852,中继,Q3-R002
Q3-T013,巡航,6451.484252739852,6660.891877035809,中继,Q3-R002
Q3-T013,巡航,6660.891877035809,6673.435112282943,中继,Q3-R003
Q3-T013,巡航,6673.435112282943,6935.739383924249,直连,
Q3-T013,下降,6935.739383924249,7152.791453016045,直连,
Q3-T014,爬升,5621.606789940195,5769.639875063893,直连,
Q3-T014,巡航,5769.639875063893,6031.87315980726,直连,
Q3-T014,巡航,6031.87315980726,6170.290867878587,中继,Q3-R002
Q3-T014,下降,6170.290867878589,6209.210570027025,中继,Q3-R002
Q3-T014,物资投送,6209.210570027025,6449.210570027025,中继,Q3-R002
Q3-T014,爬升,6449.210570027025,6481.643655150723,中继,Q3-R002
Q3-T014,巡航,6481.643655150725,6494.567880725393,中继,Q3-R003
Q3-T014,巡航,6494.567880725393,6620.06136322205,中继,Q3-R002
Q3-T014,巡航,6620.06136322205,6882.294647965417,直连,
Q3-T014,下降,6882.294647965417,7059.934350113855,直连,
Q3-T015,爬升,5867.439194949489,5975.654861453396,直连,
Q3-T015,巡航,5975.654861453396,6348.029891158714,直连,
Q3-T015,巡航,6348.029891158714,6489.966971205829,中继,Q3-R002
Q3-T015,下降,6489.966971205831,6532.451762770773,中继,Q3-R002
Q3-T015,下降,6532.451762770773,6574.936554335713,中继,Q3-R003
Q3-T015,物资投送,6574.936554335713,6970.936554335713,中继,Q3-R003
Q3-T015,爬升,6970.936554335713,7004.924387587667,中继,Q3-R003
Q3-T015,爬升,7004.924387587667,7038.912220839618,中继,Q3-R002
Q3-T015,巡航,7038.91222083962,7180.849300886733,中继,Q3-R002
Q3-T015,巡航,7180.849300886733,7553.224330592052,直连,
Q3-T015,下降,7553.224330592052,7688.493913721934,直连,
Q3-T016,爬升,6164.98589033812,6220.162194455958,直连,
Q3-T016,巡航,6220.162194455958,6483.736750892965,直连,
Q3-T016,巡航,6483.736750892965,6600.515757563892,中继,Q3-R003
Q3-T016,下降,6600.515757563893,6625.8073225052985,中继,Q3-R003
Q3-T016,物资投送,6625.8073225052985,6865.8073225052985,中继,Q3-R003
Q3-T016,爬升,6865.8073225052985,6886.883626623137,中继,Q3-R003
Q3-T016,巡航,6886.883626623138,7003.662633294065,中继,Q3-R003
Q3-T016,巡航,7003.662633294065,7267.237189731071,直连,
Q3-T016,下降,7267.237189731071,7333.448754672478,直连,
Q3-T017,爬升,7419.934350113863,7564.635729508394,直连,
Q3-T017,巡航,7564.635729508394,7826.9400011497,直连,
Q3-T017,巡航,7826.9400011497,8048.890860692791,中继,Q3-R002
Q3-T017,下降,8048.890860692791,8138.212515966228,中继,Q3-R002
Q3-T017,物资投送,8138.212515966228,8348.212515966228,中继,Q3-R002
Q3-T017,爬升,8348.212515966228,8422.647228694093,中继,Q3-R002
Q3-T017,巡航,8422.647228694093,8514.263064323572,中继,Q3-R002
Q3-T017,巡航,8514.263064323572,8644.598088237184,中继,Q3-R004
Q3-T017,巡航,8644.598088237184,8906.90235987849,直连,
Q3-T017,下降,8906.90235987849,9080.544015151927,直连,
Q3-T018,爬升,7632.791453016054,7712.275808484805,直连,
Q3-T018,巡航,7712.275808484805,7975.759639848899,直连,
Q3-T018,巡航,7975.759639848899,8064.3153664258525,中继,Q3-R002
Q3-T018,下降,8064.3153664258525,8130.02081076179,中继,Q3-R002
Q3-T018,物资投送,8130.02081076179,8526.020810761791,中继,Q3-R002
Q3-T018,爬升,8526.020810761791,8552.302988496167,中继,Q3-R002
Q3-T018,爬升,8552.302988496167,8578.585166230541,中继,Q3-R004
Q3-T018,巡航,8578.585166230541,8667.140892807496,中继,Q3-R004
Q3-T018,巡航,8667.140892807496,8930.62472417159,直连,
Q3-T018,下降,8930.62472417159,9029.980168507527,直连,
Q3-T019,爬升,8221.374411687357,8279.517055730326,直连,
Q3-T019,巡航,8279.517055730326,8483.118629564658,直连,
Q3-T019,下降,8483.118629564658,8527.64693461837,直连,
Q3-T019,物资投送,8527.64693461837,8851.64693461837,直连,
Q3-T019,爬升,8851.64693461837,8887.269578661339,直连,
Q3-T019,巡航,8887.269578661339,9090.87115249567,直连,
Q3-T019,下降,9090.87115249567,9163.549457549381,直连,
Q3-T020,爬升,8372.007916420103,8427.895168210467,直连,
Q3-T020,巡航,8427.895168210467,8615.102262368591,直连,
Q3-T020,下降,8615.102262368591,8648.40696451703,直连,
Q3-T020,物资投送,8648.40696451703,8888.40696451703,直连,
Q3-T020,爬升,8888.40696451703,8916.16088297406,直连,
Q3-T020,巡航,8916.16088297406,9103.367977132184,直连,
Q3-T020,下降,9103.367977132184,9170.432679280622,直连,
