route_id,phase,t0,t1,provider,lower_margin_dB
K000002,爬升,480.0,575.359135742,G01,25.160808415593976
K000002,巡航,575.359135742,787.772392566,G01,1.8599604785582073
K000002,下降,787.772392566,813.421312243,G01,1.8599604785583637
K000002,物资投送,813.421312243,1209.421312243,G01,1.8683888800624544
K000002,爬升,1209.421312243,1229.940447985,G01,1.8599604785584347
K000002,巡航,1229.940447985,1442.353704809,G01,1.8599604785582073
K000002,下降,1442.353704809,1561.552624487,G01,25.160808415584242
K000004,爬升,390.0,544.749129232,G01,18.993277511644692
K000004,巡航,544.749129232,802.822286372,G01,0.13227061600287016
K000004,巡航,802.822286372,854.4369178,Q3-R004,3.6748289855268013
K000004,巡航,854.4369178,880.244233514,Q3-R004,3.6748289855268013
K000004,巡航,880.244233514,906.051549228,Q3-R004,3.6748289855268013
K000004,下降,906.051549228,938.177867587,Q3-R004,3.6748289855268013
K000004,下降,938.177867587,970.304185947,Q3-R004,0.66106764815639
K000004,下降,970.304185947,1002.430504306,Q3-R004,0.6127240211423697
K000004,物资投送,1002.430504306,1242.430504306,Q3-R004,0.6127240211423555
K000004,爬升,1242.430504306,1269.202436272,Q3-R004,0.6127240211423555
K000004,爬升,1269.202436272,1295.974368238,Q3-R004,0.6610676481566031
K000004,爬升,1295.974368238,1322.746300204,Q3-R004,3.6748289855268013
K000004,巡航,1322.746300204,1348.553615918,Q3-R004,3.6748289855268013
K000004,巡航,1348.553615918,1374.360931632,Q3-R004,3.6748289855268013
K000004,巡航,1374.360931632,1425.97556306,Q3-R004,3.6748289855268013
K000004,巡航,1425.97556306,1684.048720201,G01,0.132270615991672
K000004,下降,1684.048720201,1869.747675279,G01,18.99327751166588
K001310,爬升,330.0,378.452203369,G01,29.982830377177777
K001310,巡航,378.452203369,632.954170662,G01,2.241016510284908
K001310,下降,632.954170662,668.576814705,G01,2.2410165102830177
K001310,物资投送,668.576814705,848.576814705,G01,2.24771385877267
K001310,爬升,848.576814705,878.262351407,G01,2.2410165102831883
K001310,巡航,878.262351407,1132.7643187,G01,2.2410165102830177
K001310,下降,1132.7643187,1190.906962743,G01,29.982830377148545
K000003,爬升,390.0,485.200331624,G01,23.46118121671195
K000003,巡航,485.200331624,738.230355206,G01,0.33929323871512906
K000003,巡航,738.230355206,778.182464193,Q3-R004,3.6748289855268013
K000003,巡航,778.182464193,791.499833855,Q3-R004,3.6748289855268013
K000003,巡航,791.499833855,818.134573179,Q3-R004,3.6748289855268013
K000003,巡航,818.134573179,831.451942841,Q3-R004,3.6748289855268013
K000003,巡航,831.451942841,871.404051828,Q3-R004,3.6748289855268013
K000003,巡航,871.404051828,898.038791152,Q3-R004,3.6748289855268013
K000003,巡航,898.038791152,924.673530477,Q3-R004,3.6748289855268013
K000003,巡航,924.673530477,937.990900139,Q3-R004,3.6748289855268013
K000003,巡航,937.990900139,951.308269801,Q3-R004,3.564357408655127
K000003,巡航,951.308269801,977.943009125,Q3-R004,2.872512988048612
K000003,下降,977.943009125,1004.6432081,Q3-R004,2.8654748664076806
K000003,下降,1004.6432081,1031.343407075,Q3-R004,2.8565475109592597
K000003,物资投送,1031.343407075,1271.343407075,Q3-R004,2.8565475109592597
K000003,爬升,1271.343407075,1293.593572887,Q3-R004,2.8565475109594445
K000003,爬升,1293.593572887,1315.843738699,Q3-R004,2.865474866407766
K000003,巡航,1315.843738699,1342.478478023,Q3-R004,2.872512988040569
K000003,巡航,1342.478478023,1355.795847686,Q3-R004,3.564357408646657
K000003,巡航,1355.795847686,1369.113217348,Q3-R004,3.6748289855268013
K000003,巡航,1369.113217348,1395.747956672,Q3-R004,3.6748289855268013
K000003,巡航,1395.747956672,1422.382695996,Q3-R004,3.6748289855268013
K000003,巡航,1422.382695996,1462.334804983,Q3-R004,3.6748289855268013
K000003,巡航,1462.334804983,1475.652174645,Q3-R004,3.6748289855268013
K000003,巡航,1475.652174645,1502.28691397,Q3-R004,3.6748289855268013
K000003,巡航,1502.28691397,1515.604283632,Q3-R004,3.6748289855268013
K000003,巡航,1515.604283632,1555.556392618,Q3-R004,3.6748289855268013
K000003,巡航,1555.556392618,1808.5864162,G01,0.3392932387043004
K000003,下降,1808.5864162,1922.826814149,G01,23.461181216680288
K000001,爬升,624.39748477,696.89918643,G01,27.79555154869
K000001,巡航,696.89918643,956.953004471,G01,0.11527002927620345
K000001,巡航,956.953004471,1112.985295295,Q3-R004,1.5778209041375248
K000001,巡航,1112.985295295,1164.996058903,Q3-R004,0.612815892461299
K000001,巡航,1164.996058903,1191.001440707,Q3-R004,0.14789258851372722
K000001,下降,1191.001440707,1235.728567782,Q3-R001,0.33492735049968303
K000001,物资投送,1235.728567782,1631.728567782,Q3-R001,0.33492735049956934
K000001,爬升,1631.728567782,1667.510269443,Q3-R001,0.33492735049956934
K000001,巡航,1667.510269443,1693.515651247,Q3-R004,0.14789258851864417
K000001,巡航,1693.515651247,1745.526414855,Q3-R004,0.6128158924663438
K000001,巡航,1745.526414855,1901.558705679,Q3-R004,1.5778209041428113
K000001,巡航,1901.558705679,2161.612523719,G01,0.11527002928549734
K000001,下降,2161.612523719,2252.239650795,G01,27.795551548655098
K000005,爬升,2101.552624487,2159.69526853,G01,29.982830377148545
K000005,巡航,2159.69526853,2363.296842364,G01,2.2410165102830177
K000005,下降,2363.296842364,2407.825147418,G01,2.241016510283032
K000005,物资投送,2407.825147418,2875.825147418,G01,2.24771385877267
K000005,爬升,2875.825147418,2911.447791461,G01,2.2410165102830177
K000005,巡航,2911.447791461,3115.049365295,G01,2.241016510300085
K000005,下降,3115.049365295,3187.727670349,G01,29.982830377158066
K000006,爬升,2259.747675279,2362.39318716,G01,22.759839664536244
K000006,巡航,2362.39318716,2614.917674991,G01,0.3528571655151467
K000006,巡航,2614.917674991,2641.499200025,Q3-R004,3.6748289855268013
K000006,巡航,2641.499200025,2654.789962543,Q3-R004,3.6748289855268013
K000006,巡航,2654.789962543,2668.08072506,Q3-R004,3.6748289855268013
K000006,巡航,2668.08072506,2681.371487578,Q3-R004,3.6748289855268013
K000006,下降,2681.371487578,2714.986101835,Q3-R004,3.6748289855268013
K000006,物资投送,2714.986101835,2954.986101835,Q3-R004,3.6748289855268013
K000006,爬升,2954.986101835,2982.998280384,Q3-R004,3.6748289855268013
K000006,巡航,2982.998280384,2996.289042901,Q3-R004,3.6748289855268013
K000006,巡航,2996.289042901,3009.579805418,Q3-R004,3.6748289855268013
K000006,巡航,3009.579805418,3022.870567936,Q3-R004,3.6748289855268013
K000006,巡航,3022.870567936,3049.452092971,Q3-R004,3.6748289855268013
K000006,巡航,3049.452092971,3301.976580801,G01,0.3528571655392625
K000006,下降,3301.976580801,3425.151195059,G01,22.759839664518097
K000007,爬升,2312.826814149,2403.320755393,G01,23.935643142447674
K000007,巡航,2403.320755393,2661.962720969,G01,0.15176030003418362
K000007,巡航,2661.962720969,2674.894819247,Q3-R004,3.6748289855268013
K000007,巡航,2674.894819247,2687.826917526,Q3-R004,3.6748289855268013
K000007,巡航,2687.826917526,2700.759015805,Q3-R004,3.6748289855268013
K000007,巡航,2700.759015805,2726.623212363,Q3-R004,3.6748289855268013
K000007,下降,2726.623212363,2745.615941855,Q3-R004,3.6748289855268013
K000007,物资投送,2745.615941855,2985.615941855,Q3-R004,3.6748289855268013
K000007,爬升,2985.615941855,3001.443216432,Q3-R004,3.6748289855268013
K000007,巡航,3001.443216432,3027.307412989,Q3-R004,3.6748289855268013
K000007,巡航,3027.307412989,3040.239511268,Q3-R004,3.6748289855268013
K000007,巡航,3040.239511268,3053.171609547,Q3-R004,3.6748289855268013
K000007,巡航,3053.171609547,3066.103707826,Q3-R004,3.6748289855268013
K000007,巡航,3066.103707826,3324.745673402,G01,0.15176030006095687
K000007,下降,3324.745673402,3433.338402894,G01,23.935643142488786
K000008,爬升,2702.239650795,2855.948920814,G01,20.717231343312818
K000008,巡航,2855.948920814,3105.686979143,G01,10.43338190480803
K000008,巡航,3105.686979143,3131.975195809,Q3-R001,6.584781198561544
K000008,巡航,3131.975195809,3145.119304142,Q3-R001,6.964028500213757
K000008,巡航,3145.119304142,3158.263412476,Q3-R001,7.100263728495008
K000008,下降,3158.263412476,3199.131706238,Q3-R001,7.159275860742724
K000008,下降,3199.131706238,3240.0,Q3-R001,7.115598386535183
K000008,物资投送,3240.0,3600.0,Q3-R001,7.115598386535183
K000008,爬升,3600.0,3632.69463501,Q3-R001,7.115598386535183
K000008,爬升,3632.69463501,3665.38927002,Q3-R001,7.159275860743207
K000008,巡航,3665.38927002,3678.533378353,Q3-R001,7.100263728496046
K000008,巡航,3678.533378353,3691.677486686,Q3-R001,6.964028500215136
K000008,巡航,3691.677486686,3717.965703352,Q3-R001,6.584781198563505
K000008,巡航,3717.965703352,3967.703761681,G01,10.433381904803994
K000008,下降,3967.703761681,4159.840349205,G01,20.717231343305016
K000009,爬升,3637.727670349,3735.811403259,G01,24.894047506859252
K000009,巡航,3735.811403259,4024.820232321,G01,9.194022896352067
K000009,巡航,4024.820232321,4037.956997279,Q3-R001,10.11786551402274
K000009,巡航,4037.956997279,4169.324646852,Q3-R001,9.633887552363362
K000009,巡航,4169.324646852,4208.734941724,Q3-R001,8.141637059240864
K000009,巡航,4208.734941724,4221.871706682,Q3-R001,7.639070913469865
K000009,巡航,4221.871706682,4274.418766511,Q3-R001,5.730740419080348
K000009,下降,4274.418766511,4299.92109958,Q3-R001,5.70930983318965
K000009,下降,4299.92109958,4325.423432649,Q3-R001,5.685855611691309
K000009,物资投送,4325.423432649,4685.423432649,Q3-R001,5.685855611691238
K000009,爬升,4685.423432649,4705.825299104,Q3-R001,5.685855611691238
K000009,爬升,4705.825299104,4726.227165559,Q3-R001,5.709309833189295
K000009,巡航,4726.227165559,4778.774225389,Q3-R001,5.730740419067388
K000009,巡航,4778.774225389,4791.910990346,Q3-R001,7.639070913484744
K000009,巡航,4791.910990346,4831.321285218,Q3-R001,8.141637059217487
K000009,巡航,4831.321285218,4962.688934792,Q3-R001,9.63388755234135
K000009,巡航,4962.688934792,4975.825699749,Q3-R001,10.11786551404306
K000009,巡航,4975.825699749,5264.834528812,G01,9.194022896333806
K000009,下降,5264.834528812,5387.439194949,G01,24.894047506875026
K000010,爬升,3823.90593761,3884.324022327,G01,27.795551548700658
K000010,巡航,3884.324022327,4144.377840368,G01,0.11527002927695662
K000010,巡航,4144.377840368,4300.410131192,Q3-R001,1.446127508725894
K000010,巡航,4300.410131192,4352.4208948,Q3-R001,0.7233463593037328
K000010,巡航,4352.4208948,4378.426276604,Q3-R001,0.3475985996385731
K000010,下降,4378.426276604,4414.207978264,Q3-R001,0.33492735049971145
K000010,物资投送,4414.207978264,4624.207978264,Q3-R001,0.33492735049956934
K000010,爬升,4624.207978264,4654.026062981,Q3-R001,0.33492735049956934
K000010,巡航,4654.026062981,4680.031444785,Q3-R001,0.3475985996355604
K000010,巡航,4680.031444785,4732.042208393,Q3-R001,0.7233463592984464
K000010,巡航,4732.042208393,4888.074499218,Q3-R001,1.4461275087209913
K000010,巡航,4888.074499218,5148.128317258,G01,0.11527002929798869
K000010,下降,5148.128317258,5220.630018918,G01,27.795551548655098
K000011,爬升,4142.306050013,4190.758253382,G01,29.98283037724326
