index,N,E_kWh,T_s,B_sorties,C_sorties,patterns
54,5.0,14.703416025254036,10140.616371251512,4.0,1.0,P00284:2;P00291:1;P00294:1;P00351:1
55,6.0,16.84550472436615,12041.226036289574,5.0,1.0,P00284:2;P00291:1;P00296:1;P00307:1;P00326:1
56,5.0,14.631390653522384,10140.616371251512,4.0,1.0,P00284:2;P00291:1;P00296:1;P00349:1
57,5.0,14.66190091375959,10146.616371251512,4.0,1.0,P00284:2;P00291:1;P00307:1;P00339:1
58,5.0,12.529814440960504,9983.048325190313,5.0,0.0,P00284:2;P00291:1;P00309:1;P00337:1
59,5.0,14.62001026499036,10140.616371251512,4.0,1.0,P00284:2;P00291:1;P00311:1;P00335:1
60,5.0,14.616817810189476,10140.616371251512,4.0,1.0,P00284:2;P00291:1;P00314:1;P00331:1
61,5.0,14.63158653902989,10140.616371251512,4.0,1.0,P00284:2;P00291:1;P00316:1;P00329:1
62,5.0,14.708957136012284,10146.616371251512,4.0,1.0,P00284:2;P00291:1;P00317:1;P00326:1
63,4.0,12.538819398635898,8252.00670621345,3.0,1.0,P00284:2;P00291:1;P00357:1
64,6.0,14.70401176752167,11883.657990228377,6.0,0.0,P00284:2;P00294:2;P00307:1;P00326:1
65,5.0,12.4898976966779,9983.048325190313,5.0,0.0,P00284:2;P00294:2;P00349:1
66,5.0,12.572489229482382,9983.048325190313,5.0,0.0,P00284:2;P00294:1;P00307:1;P00337:1
67,5.0,12.454016868903887,9983.048325190313,5.0,0.0,P00284:2;P00294:1;P00309:1;P00335:1
68,5.0,12.425516798302542,9983.048325190313,5.0,0.0,P00284:2;P00294:1;P00314:1;P00329:1
69,5.0,14.730741197577402,10140.616371251512,4.0,1.0,P00284:2;P00294:1;P00316:1;P00326:1
70,4.0,12.532545500344627,8246.00670621345,3.0,1.0,P00284:2;P00294:1;P00356:1
71,5.0,14.638184614270248,10140.616371251512,4.0,1.0,P00284:2;P00296:1;P00307:1;P00335:1
72,5.0,14.666164413694535,10140.616371251512,4.0,1.0,P00284:2;P00296:1;P00314:1;P00326:1
73,4.0,14.781904783516826,8397.574752274646,2.0,2.0,P00284:2;P00296:1;P00355:1
74,5.0,14.63681168152236,10140.616371251512,4.0,1.0,P00284:2;P00300:1;P00307:1;P00331:1
75,5.0,12.402835881113546,9983.048325190313,5.0,0.0,P00284:2;P00300:1;P00309:1;P00329:1
76,5.0,14.66798393574753,10140.616371251512,4.0,1.0,P00284:2;P00300:1;P00311:1;P00326:1
77,4.0,12.480425898528644,8246.00670621345,3.0,1.0,P00284:2;P00300:1;P00352:1
78,5.0,14.642762351997654,10140.616371251512,4.0,1.0,P00284:2;P00302:1;P00307:1;P00329:1
79,5.0,14.699242222023287,10140.616371251512,4.0,1.0,P00284:2;P00302:1;P00309:1;P00326:1
80,4.0,14.741321268277535,8397.574752274646,2.0,2.0,P00284:2;P00302:1;P00351:1
81,5.0,14.738557717010185,10146.616371251512,4.0,1.0,P00284:2;P00303:1;P00307:1;P00326:1
82,4.0,12.524443646166414,8246.00670621345,3.0,1.0,P00284:2;P00303:1;P00349:1
83,4.0,12.573553374473796,8252.00670621345,3.0,1.0,P00284:2;P00307:1;P00345:1
84,4.0,12.504411809128225,8246.00670621345,3.0,1.0,P00284:2;P00309:1;P00344:1
85,4.0,12.494606331099378,8240.00670621345,3.0,1.0,P00284:2;P00311:1;P00342:1
86,4.0,12.482560603087974,8246.00670621345,3.0,1.0,P00284:2;P00314:1;P00339:1
87,4.0,12.599218659538115,8240.00670621345,3.0,1.0,P00284:2;P00316:1;P00337:1
88,4.0,12.501637025916382,8246.00670621345,3.0,1.0,P00284:2;P00317:1;P00335:1
89,4.0,14.745444611457573,8397.574752274646,2.0,2.0,P00284:2;P00320:1;P00331:1
90,4.0,12.482737445302174,8246.006706213448,3.0,1.0,P00284:2;P00321:1;P00329:1
91,4.0,12.641247147795648,8252.00670621345,3.0,1.0,P00284:2;P00322:1;P00326:1
92,3.0,10.494164348143556,6357.397041175386,2.0,1.0,P00284:2;P00362:1
93,6.0,14.777163069598787,11883.657990228377,6.0,0.0,P00284:1;P00286:1;P00291:2;P00307:1;P00329:1
94,6.0,14.833642939624418,11883.657990228376,6.0,0.0,P00284:1;P00286:1;P00291:2;P00309:1;P00326:1
95,5.0,14.875721985878666,10140.616371251512,4.0,1.0,P00284:1;P00286:1;P00291:2;P00351:1
96,6.0,14.876317728146299,11883.657990228377,6.0,0.0,P00284:1;P00286:1;P00291:1;P00294:1;P00307:1;P00326:1
97,5.0,12.66220365730253,9983.048325190313,5.0,0.0,P00284:1;P00286:1;P00291:1;P00294:1;P00349:1
98,5.0,12.744795190107013,9983.048325190313,5.0,0.0,P00284:1;P00286:1;P00291:1;P00307:1;P00337:1
99,5.0,12.626322829528515,9983.048325190313,5.0,0.0,P00284:1;P00286:1;P00291:1;P00309:1;P00335:1
100,5.0,12.59782275892717,9983.048325190313,5.0,0.0,P00284:1;P00286:1;P00291:1;P00314:1;P00329:1
101,5.0,14.903047158202032,10140.616371251512,4.0,1.0,P00284:1;P00286:1;P00291:1;P00316:1;P00326:1
102,4.0,12.704851460969255,8246.00670621345,3.0,1.0,P00284:1;P00286:1;P00291:1;P00356:1
103,5.0,12.668997618050396,9983.048325190313,5.0,0.0,P00284:1;P00286:1;P00294:1;P00307:1;P00335:1
104,5.0,12.696977417474685,9983.048325190313,5.0,0.0,P00284:1;P00286:1;P00294:1;P00314:1;P00326:1
105,4.0,12.812717787296972,8240.00670621345,3.0,1.0,P00284:1;P00286:1;P00294:1;P00355:1
106,5.0,12.617816630260055,9983.048325190313,5.0,0.0,P00284:1;P00286:1;P00300:1;P00307:1;P00329:1
107,5.0,12.674296500285687,9983.048325190313,5.0,0.0,P00284:1;P00286:1;P00300:1;P00309:1;P00326:1
108,4.0,12.716375546539933,8240.00670621345,3.0,1.0,P00284:1;P00286:1;P00300:1;P00351:1
109,5.0,14.914222971169796,10140.616371251512,4.0,1.0,P00284:1;P00286:1;P00302:1;P00307:1;P00326:1
110,4.0,12.700108900326029,8240.006706213448,3.0,1.0,P00284:1;P00286:1;P00302:1;P00349:1
111,4.0,12.719392558274734,8246.00670621345,3.0,1.0,P00284:1;P00286:1;P00307:1;P00344:1
112,4.0,10.500918895637536,8082.438660152251,4.0,0.0,P00284:1;P00286:1;P00309:1;P00342:1
113,4.0,10.565454879435396,8082.438660152251,4.0,0.0,P00284:1;P00286:1;P00314:1;P00337:1
114,4.0,12.695727048106129,8240.006706213448,3.0,1.0,P00284:1;P00286:1;P00316:1;P00335:1
115,4.0,12.726449560195269,8240.006706213448,3.0,1.0,P00284:1;P00286:1;P00320:1;P00329:1
116,4.0,12.754198064474316,8246.006706213448,3.0,1.0,P00284:1;P00286:1;P00321:1;P00326:1
117,3.0,10.570594253867753,6351.397041175385,2.0,1.0,P00284:1;P00286:1;P00361:1
118,6.0,16.8882974466839,12041.226036289574,5.0,1.0,P00284:1;P00288:1;P00291:2;P00307:1;P00326:1
119,5.0,14.674183375840133,10140.616371251512,4.0,1.0,P00284:1;P00288:1;P00291:2;P00349:1
120,5.0,14.680977336587997,10140.616371251512,4.0,1.0,P00284:1;P00288:1;P00291:1;P00307:1;P00335:1
121,5.0,14.708957136012284,10140.61637125151,4.0,1.0,P00284:1;P00288:1;P00291:1;P00314:1;P00326:1
122,4.0,14.824697505834575,8397.574752274646,2.0,2.0,P00284:1;P00288:1;P00291:1;P00355:1
123,5.0,14.72895100734517,10140.616371251512,4.0,1.0,P00284:1;P00288:1;P00300:1;P00307:1;P00326:1
124,4.0,12.514836936501402,8240.006706213448,3.0,1.0,P00284:1;P00288:1;P00300:1;P00349:1
125,4.0,12.55557340269702,8240.006706213448,3.0,1.0,P00284:1;P00288:1;P00307:1;P00342:1
126,4.0,12.501637025916382,8240.006706213448,3.0,1.0,P00284:1;P00288:1;P00314:1;P00335:1
127,4.0,14.837583937280383,8397.574752274646,2.0,2.0,P00284:1;P00288:1;P00320:1;P00326:1
128,3.0,12.630123035523962,6502.965087236584,1.0,2.0,P00284:1;P00288:1;P00360:1
129,5.0,14.718159709307514,10146.616371251512,4.0,1.0,P00284:1;P00291:2;P00307:1;P00332:1
130,5.0,14.669211022494363,10140.616371251512,4.0,1.0,P00284:1;P00291:2;P00309:1;P00331:1
131,5.0,14.6439034066939,10140.616371251512,4.0,1.0,P00284:1;P00291:2;P00311:1;P00329:1
132,5.0,14.78012118216704,10146.616371251512,4.0,1.0,P00284:1;P00291:2;P00312:1;P00326:1
133,4.0,12.626593972174653,8252.00670621345,3.0,1.0,P00284:1;P00291:2;P00353:1
134,5.0,14.711885811016241,10140.616371251512,4.0,1.0,P00284:1;P00291:1;P00294:1;P00307:1;P00331:1
135,5.0,12.477910010607427,9983.048325190313,5.0,0.0,P00284:1;P00291:1;P00294:1;P00309:1;P00329:1
