scenario,tag,relaxation,status,seconds,objective,dual_bound,mip_gap,nodes
S003_53,S003_decision,True,0,0.0011922999983653426,1.1067971810589328,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011427999706938863,-2.983993803765126,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011908000451512635,1.2140053073270038,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011463999981060624,-6.268490543548882,0.0,0.0,0
S003_53,S003_objective,True,0,0.001173499971628189,1.2075683203414649,0.0,0.0,0
S003_53,S003_objective,True,0,0.0013996000052429736,0.4753123684421697,0.0,0.0,0
S003_53,S003_objective,True,0,0.0013303000014275312,1.2075683203414649,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012293000472709537,-1.2225641771213416,0.0,0.0,0
S003_53,S003_objective,True,0,0.001215500000398606,0.9727476036395668,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011255000135861337,0.20819269126829953,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012425999739207327,-1.5733925757827325,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012512000394053757,1.2075683203414649,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012023000163026154,-0.23673217260602236,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012344999704509974,1.097561650158486,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011984999873675406,0.9519010913138116,0.0,0.0,0
S003_53,S003_objective,True,0,0.00120749999769032,-0.3072572457137395,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011494000209495425,-1.589011240228738,0.0,0.0,0
S003_53,S003_objective,True,0,0.001692200021352619,-1.557676272930291,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012555000139400363,0.12526692341371895,0.0,0.0,0
S003_53,S003_objective,True,0,0.001191799994558096,0.29475915933252206,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011755999876186252,1.2075683203414649,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012261000229045749,-0.17882866573939127,0.0,0.0,0
S003_53,S003_objective,True,0,0.001216700009535998,1.097561650158486,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011928000021725893,0.9635368437554929,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011703000054694712,0.9403017659297721,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011762999929487705,1.2075683203414649,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012199999764561653,-0.17882866573939127,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011971000349149108,-0.32100854617407815,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011947999591939151,-0.3049734520804585,0.0,0.0,0
S003_53,S003_objective,True,0,0.001152200042270124,-1.5968058283941007,0.0,0.0,0
S003_53,S003_objective,True,0,0.0014411999727599323,-1.5734266967895563,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012252999586053193,-1.5497262191378387,0.0,0.0,0
S003_53,S003_objective,True,0,0.001199499994982034,-1.5623315394476327,0.0,0.0,0
S003_53,S003_objective,True,0,0.001180600025691092,0.08622466566907122,0.0,0.0,0
S003_53,S003_objective,True,0,0.001122599991504103,0.14848552663901704,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011696000001393259,0.4001862146531538,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011006999993696809,0.2578985509066417,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012092000106349587,1.097561650158486,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011759999906644225,0.9635368437554929,0.0,0.0,0
S003_53,S003_objective,True,0,0.001171100011561066,0.9403017659297721,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011587999761104584,1.2075683203414649,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011901999823749065,-0.17882866573939127,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012243000091984868,-0.32100854617407815,0.0,0.0,0
S003_53,S003_objective,True,0,0.0014542000135406852,-0.3049734520804585,0.0,0.0,0
S003_53,S003_objective,True,0,0.0013542999513447285,-1.5968058283941007,0.0,0.0,0
S003_53,S003_objective,True,0,0.0012262999662198126,-1.5734266967895563,0.0,0.0,0
S003_53,S003_objective,True,0,0.001227299973834306,-1.5623315394476327,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011449999874457717,0.08622466566907122,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011642000172287226,0.4001862146531538,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011879999656230211,-1.544468547085311,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011731000267900527,-1.5532310576497637,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011214999831281602,0.18574890141345368,0.0,0.0,0
S003_53,S003_objective,True,0,0.0010964000248350203,0.12993883582485588,0.0,0.0,0
S003_53,S003_objective,True,0,0.0010966999689117074,0.23422323072216722,0.0,0.0,0
S003_53,S003_objective,True,0,0.0011138000409118831,0.2697736167234944,0.0,0.0,0
S003_53,S003_min_E_LP,True,0,0.0012126000365242362,7.6780935630609415,0.0,0.0,0
S003_53,S003_min_E_IP,False,0,0.0031515000155195594,8.54560279357567,8.54560279357567,0.0,1
S001,energy_LP,True,0,0.001709700038190931,5.913435186069652,0.0,0.0,0
S001,energy_IP,False,0,0.005879200005438179,5.913435186069652,5.913435186069652,0.0,1
S002,energy_LP,True,0,0.0011880999663844705,7.624645401466262,0.0,0.0,0
S002,energy_IP,False,0,0.0027716000331565738,8.434895318250197,8.434895318250197,0.0,1
S003,energy_LP,True,0,0.0012393000070005655,7.6780935630609415,0.0,0.0,0
S003,energy_IP,False,0,0.002641300030518323,8.54560279357567,8.54560279357567,0.0,1
S004,energy_LP,True,0,0.001124100002925843,6.152920552274485,0.0,0.0,0
S004,energy_IP,False,0,0.0010957999620586634,6.152920552274485,6.152920552274485,0.0,1
S005,energy_LP,True,0,0.0011118999682366848,4.222182349592158,0.0,0.0,0
S005,energy_IP,False,0,0.0010776999988593161,4.222182349592158,4.222182349592158,0.0,1
S006,energy_LP,True,0,0.0010989000438712537,2.59798064071706,0.0,0.0,0
S006,energy_IP,False,0,0.0010748000349849463,2.59798064071706,2.59798064071706,0.0,1
S007,energy_LP,True,0,0.001061699993442744,3.411075641855823,0.0,0.0,0
S007,energy_IP,False,0,0.000957900017965585,3.411075641855823,3.411075641855823,0.0,1
S008,energy_LP,True,0,0.001054299995303154,5.738710679712044,0.0,0.0,0
S008,energy_IP,False,0,0.0009819999686442316,5.738710679712044,5.738710679712044,0.0,1
S009,energy_LP,True,0,0.0009827000321820378,2.096289967733762,0.0,0.0,0
S009,energy_IP,False,0,0.000744100019801408,2.096289967733762,2.096289967733762,0.0,1
S010,energy_LP,True,0,0.0011372999870218337,1.8232594430204312,0.0,0.0,0
S010,energy_IP,False,0,0.0008227000362239778,1.8232594430204312,1.8232594430204312,0.0,1
S011,energy_LP,True,0,0.0009539999882690609,1.073963183411491,0.0,0.0,0
S011,energy_IP,False,0,0.0007560999947600067,1.073963183411491,1.073963183411491,0.0,1
S012,energy_LP,True,0,0.0009411000064574182,2.7526443904556688,0.0,0.0,0
S012,energy_IP,False,0,0.0007486999966204166,2.7526443904556688,2.7526443904556688,0.0,1
S013,energy_LP,True,0,0.0009440999710932374,1.8248637585718628,0.0,0.0,0
S013,energy_IP,False,0,0.0007442000205628574,1.8248637585718628,1.8248637585718628,0.0,1
S014,energy_LP,True,0,0.0009759000386111438,2.1403652207656543,0.0,0.0,0
S014,energy_IP,False,0,0.0007630999898537993,2.1403652207656543,2.1403652207656543,0.0,1
S015,energy_LP,True,0,0.0009406000026501715,2.3075883370944723,0.0,0.0,0
