from_id,to_id,distance_m,crossed_pixels,terrain_max_m,cruise_asl_m,climb_m,descent_m
O01,S001,3054.023607514977,136,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188
O01,S002,7411.533814153884,323,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062
O01,S003,7263.826967765938,338,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375
O01,S004,7714.681646286508,276,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656
O01,S005,5280.5933691157215,181,276.410888671875,326.410888671875,198.710888671875,131.410888671875
O01,S006,3186.1988523508403,116,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874
O01,S007,4534.717374921003,213,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812
O01,S008,8079.110448788477,321,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065
O01,S009,5705.303446619009,253,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625
O01,S010,4784.674506261786,203,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123
O01,S011,2808.106412371872,123,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376
O01,S012,7391.140162515388,354,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686
O01,S013,4849.53685454878,228,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876
O01,S014,5419.5362999417475,203,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125
O01,S015,6009.764892220415,286,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375
