类型,源方案架次编号,本目录表格架次编号
运输,K000002,Q3-T001
运输,K000003,Q3-T002
运输,K000004,Q3-T003
运输,K001310,Q3-T004
运输,K000001,Q3-T005
运输,K000005,Q3-T006
运输,K000006,Q3-T007
运输,K000007,Q3-T008
运输,K000008,Q3-T009
运输,K000009,Q3-T010
运输,K000010,Q3-T011
运输,K000011,Q3-T012
运输,K000012,Q3-T013
运输,K000014,Q3-T014
运输,K000015,Q3-T015
运输,K000013,Q3-T016
运输,K000017,Q3-T017
运输,K000018,Q3-T018
运输,K000019,Q3-T019
运输,K000016,Q3-T020
中继,Q3-R004,Q3-R001
中继,Q3-R001,Q3-R002
中继,Q3-R005,Q3-R003
中继,Q3-R006,Q3-R004
