name,cap,lower_min,upper_min,upper_archive_index,upper_objective,gap_pct
all_generated_routes,{},89.79872083767054,102.33221862400637,1,"[23.0, 68.55440900834468, 6139.933117440382, 0.0]",12.247851121441009
at_most_20,{'N': 20},105.15422638853441,114.6942641444573,6,"[20.0, 65.4625120826029, 6881.6558486674385, 0.0]",8.317798476746168
at_most_21,{'N': 21},97.45500920486765,105.07998098884192,4,"[21.0, 70.01094900157256, 6304.798859330515, 0.0]",7.2563505552822125
at_most_22,{'N': 22},91.26812617928016,103.32559327332928,2,"[22.0, 68.79617614397938, 6199.535596399756, 0.0]",11.669390624405374
N22_E66,"{'N': 22, 'E': 66.0}",93.76387191060252,103.43907405738615,0,"[22.0, 65.51851671683666, 6206.344443443169, 0.0]",9.35352741210348
