candidate_id,vehicle,zones,value,energy,duration_min
K1b4069e1511c59e5,C,['S005'],0.9971225680972481,4.222182349592158,31.28647859152452
K3dc4c7cba8101907,A,['S001'],0.8782051282051286,1.2823637569820734,20.848449379056362
K3b9ffe6936063ff2,B,['S012'],0.778183591830214,2.7526443904556688,32.04711356915312
Kb4dcea9456a134a0,B,['S013'],0.778183591830214,1.8248637585718632,25.17519314574208
Ka3230624ab4becb6,A,['S006'],0.75,1.3570446578747104,21.891277329663794
K36d545d38354e602,A,['S001'],0.67948717948718,1.2823637569820734,20.848449379056362
K03b859611043839d,A,['S001'],0.6730769230769229,1.2823637569820734,20.848449379056362
K5afbeb529f4093c5,C,['S002'],0.6666666666666667,6.2810104080250655,36.230702767075904
K0b1e988d1480b516,B,['S008'],0.5028774319027519,2.9752439668052673,32.69736245292838
K10ba61615fa6d454,A,"['S007', 'S006']",0.5,2.102718969674827,35.4857982470898
K17998080c14a3e08,A,"['S010', 'S014']",0.5,2.565988171081867,38.58898457665252
K2bb93b256615b042,B,['S007'],0.5,1.6565783547096733,26.27182733435136
K7c02a763acf2c467,A,"['S010', 'S014']",0.5,2.469425537996274,38.58898457665252
K86ecc4edaf8253e9,A,['S006'],0.5,1.3115627363926725,21.891277329663794
Kc58793d6022a6e66,A,['S014'],0.5,2.369426112953675,33.17331475461249
Kfd3b12ca76a8785b,A,"['S011', 'S007']",0.5,2.155966745952709,33.95772415643338
K0ff6a2f71e3457fd,A,"['S011', 'S008']",0.4971225680972481,3.1370087942734406,41.27045583947144
K3c3b9196c73ff9bd,A,['S008'],0.4971225680972481,3.308464541875325,36.18575714669976
K13f571172026ace0,A,['S001'],0.38461538461538475,1.2643631371361885,21.848449379056362
K073ee7361cd3e4a4,A,['S002'],0.3333333333333334,3.0187792944704652,33.396253474103666
K45d87be6ef446d50,C,['S003'],0.33333333333333337,6.324596372619295,41.702961851654344
Kd3e3ab4d925a02b2,A,['S003'],0.33333333333333337,3.083849000086504,37.71228717717101
K0faf8780d220fbe2,C,['S002'],0.3333333333333333,6.162052545573086,35.13070276707591
K6a2e5f3223bf9174,C,['S003'],0.3333333333333333,6.324596372619295,41.702961851654344
Ka475d459ac81ca5b,A,['S003'],0.3333333333333333,3.083849000086504,37.71228717717101
Ke9e15634f1ae7c3c,C,['S003'],0.3333333333333333,6.206067983691762,40.60296185165434
K64a185b96516903c,A,['S002'],0.33333333333333326,3.0187792944704652,33.396253474103666
K568ae5d92667cc78,C,['S001'],0.32692307692307715,3.0377395715664606,27.102917431033713
Kfff3112b2fa97910,B,['S008'],0.25431614785412787,2.7634667129067774,31.69736245292838
Kc92796bf07cc4c51,B,['S006'],0.25,1.293550887027719,20.12116685613555
Kd74d525e39c4f063,A,['S006'],0.25,1.3570446578747104,21.891277329663794
K3ea048e908dd1c74,B,['S008'],0.24856128404862404,3.1466373397891148,31.69736245292838
Ke8b1f3ea8c4dcb31,B,['S008'],0.24856128404862404,2.7634667129067774,31.69736245292838
K81f85af3791133ed,A,['S013'],0.22181640816978598,2.0255621380104656,26.869380287158076
K64f8e06961222962,C,['S001'],0.16025641025641,3.0377395715664606,26.002917431033715
Kfd30b551a0eabd69,C,['S001'],0.14743589743589744,3.0377395715664606,27.102917431033713
K6687f0786c3e793e,C,['S001'],0.14102564102564072,3.0377395715664606,26.002917431033715
Kcaf83e338dc19379,C,['S001'],0.1217948717948713,3.0377395715664606,27.102917431033713
Kc80884d5c45fed5f,A,['S012'],0.11090820408489299,3.058713943366156,35.153302548328334
Kb2659d5f4fbe2f84,A,"['S013', 'S012']",0.11090820408489296,2.9766801959890348,39.95324447831038
Kf5bcf784d92f1495,A,"['S013', 'S012']",0.11090820408489296,3.0837609160982318,39.95324447831038
K73807a60943071ce,C,['S001'],0.08333333333333315,3.0377395715664606,27.102917431033713
K6bdcc1b2c98ca41b,C,['S001'],0.0705128205128209,3.0377395715664606,26.002917431033715
K820133cad60dd52c,C,['S001'],0.07051282051282064,3.0377395715664606,26.002917431033715
K079039cb05e583ba,C,['S001'],0.05128205128205174,3.0377395715664606,27.102917431033713
K381a8429a2c66ec7,C,['S001'],0.03846153846153816,3.0377395715664606,27.102917431033713
Ke6346a6a329797c9,C,['S001'],0.019230769230769235,3.0377395715664606,26.002917431033715
K17119b12e7d4c280,A,"['S011', 'S005']",0.0028774319027519146,2.146601898924806,33.43785158882849
K202fe1ebd95af838,A,['S005'],0.0028774319027519146,2.1929830345883476,28.203136637300613
K3636f05fb4afc88d,B,['S005'],0.0028774319027519146,2.086131471436701,25.269473654458547
