pattern,zone,vehicle,nbox,mass,volume,combinations,ub,prep_load_s,handoff_s,operation_s,battery,rho_crit,energy,horizontal_energy,climb_energy,out_s,back_s,fly_s,counts
P00504,S006,C,3,25.0,0.067,3,1,390.0,288.0,1363.5526244866226,8.0,0.7297839831147297,2.161728135082163,2.06253179973806,0.09919633534410265,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T2"": 1, ""S006:T3"": 1}"
P00505,S006,C,4,39.0,0.094,3,1,420.0,324.0,1429.5526244866226,8.0,0.7134285951542906,2.2925712387656754,2.180743129016835,0.11182810974884037,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T2"": 1, ""S006:T3"": 2}"
P00506,S006,C,5,53.0,0.121,1,1,450.0,360.0,1495.5526244866226,8.0,0.6892092232970286,2.4863262136237707,2.3618663294701925,0.12445988415357805,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T2"": 1, ""S006:T3"": 3}"
P00507,S006,A,2,9.0,0.047,1,1,360.0,210.0,1313.4766397798276,4.5,0.7204898275239358,1.257795776142289,1.172926112636311,0.08486966350597806,365.50165322324705,377.9749865565804,743.4766397798275,"{""S006:T0"": 1, ""S006:T1"": 1}"
P00508,S006,B,2,9.0,0.047,1,1,360.0,210.0,1207.2700113681328,4.0,0.7439469460667254,1.0242122157330984,0.9448246405916154,0.07938757514148288,312.39833901739973,324.8716723507331,637.2700113681328,"{""S006:T0"": 1, ""S006:T1"": 1}"
P00509,S006,C,2,9.0,0.047,1,1,360.0,252.0,1297.5526244866226,8.0,0.7417712321681301,2.065830142654959,1.9810701209162707,0.08476002173868817,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T1"": 1}"
P00510,S006,C,3,23.0,0.074,3,1,390.0,288.0,1363.5526244866226,8.0,0.7316409168761036,2.146872664991172,2.049480868847746,0.09739179614342586,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T1"": 1, ""S006:T3"": 1}"
P00511,S006,C,4,37.0,0.101,3,1,420.0,324.0,1429.5526244866226,8.0,0.7161679954446625,2.2706560364426998,2.1606324658945364,0.11002357054816353,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T1"": 1, ""S006:T3"": 2}"
P00512,S006,C,5,51.0,0.128,1,1,450.0,360.0,1495.5526244866226,8.0,0.6933074240719019,2.453540607424784,2.3308852624718828,0.12265534495290124,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T1"": 1, ""S006:T3"": 3}"
P00513,S006,C,3,17.0,0.075,1,1,390.0,288.0,1363.5526244866226,8.0,0.7365867070301795,2.1073063437585646,2.015328165217169,0.09197817854139541,333.42131224331126,352.13131224331124,685.5526244866226,"{""S006:T0"": 1, ""S006:T1"": 1, ""S006:T2"": 1}"
