method,NT,NR,ET,ER,C,L,service_duration_s
A 冻结Q2快照后配置中继,20,5,60.70497216913841,4.0141389294509064,9169.188439159356,602.5438554866732,8873.223814181634
B 固定箱组/机型/资源顺序重排,20,4,60.70497216913841,4.147083706657735,9165.154435026616,602.5438654866742,10291.861224429858
C 联合搜索最终代表,20,4,60.9175261527664,4.202542513978414,9170.432679280624,465.25841077498995,10368.04724977427
