x,y,z,ground,height,lon,lat,cruise,out_s,back_s,travel_kwh,e0,dmax,back_margin,qid
-1200.0,3200.0,548.7672882080078,248.7672882080078,300.0,109.21914622247203,23.037404937237202,548.7672882080078,333.1069219271361,368.19586261113676,0.1830146422377528,0.19218130890441945,7749.224807221899,5.211944545451871,Q001
-2400.0,4000.0,717.4828186035156,417.4828186035156,300.0,109.20744074494405,23.044628796546505,717.4828186035156,458.4298057092949,507.5783739262545,0.2511401440738805,0.2603068107405472,7526.268619394574,2.5048694710720127,Q002
1600.0,1600.0,592.2327880859375,292.2327880859375,300.0,109.24645900337063,23.0229572186186,592.2327880859375,266.9826436746145,305.69370934844267,0.13769203316318485,0.1468586998298515,7897.553346011396,8.688610827518048,Q003
1200.0,6000.0,607.762939453125,307.762939453125,300.0,109.24255717752797,23.062688444819756,607.762939453125,527.9372959507041,567.9425409051312,0.3033138174797833,0.31248048414644997,7355.518415520709,0.18793412271540433,Q004
4800.0,2000.0,687.9931945800781,387.9931945800781,300.0,109.2776736101119,23.02656914827325,687.9931945800781,486.7399653116862,533.431064860026,0.2713145029369284,0.28048116960359504,7460.243444933689,1.5790742739172714,Q005
-2800.0,4800.0,856.9552001953125,556.9552001953125,300.0,109.20353891910139,23.051852655855804,856.9552001953125,552.7789731008229,613.5502397837656,0.3015467492867013,0.31071341595336793,7361.301547788978,0.9788246539429224,Q006
-1200.0,4000.0,611.5882568359375,311.5882568359375,300.0,109.21914622247203,23.044628796546505,611.5882568359375,399.3802377799324,439.7042591829272,0.22090938068023253,0.23007604734689918,7625.205663228329,3.4770506375361094,Q007
-800.0,2800.0,537.7898101806641,237.78981018066406,300.0,109.22304804831468,23.033793007582553,537.7898101806641,296.65871625931317,330.8328671077018,0.1605052882332666,0.16967195489993325,7822.891783963856,6.584575286059504,Q008
-2000.0,4800.0,676.6923522949219,376.6923522949219,300.0,109.21134257078671,23.051852655855804,676.6923522949219,483.91475474039714,529.6641174316406,0.27030939503715656,0.2794760617038232,7463.532888969305,1.5809947758756806,Q009
2400.0,4000.0,556.2570190429688,256.25701904296875,300.0,109.25426265505595,23.044628796546505,556.2570190429688,418.1233558191582,453.8364407394056,0.23680056471366037,0.24596723138032703,7573.198151846202,2.5359990731978144,Q010
800.0,6400.0,518.5367431640625,218.5367431640625,300.0,109.23865535168532,23.06630037447441,518.5367431640625,527.6962657002716,560.2659942972768,0.3094753676369811,0.31864203430364774,7335.3533422789715,9.740508674161484,Q011
4000.0,800.0,626.4536743164062,326.45367431640625,300.0,109.26986995842658,23.0157333593093,626.4536743164062,396.63612597071676,438.19893216375067,0.21810400530441645,0.2272706719710831,7634.386891730999,3.674828983412013,Q012
-2400.0,2000.0,661.6313171386719,361.6313171386719,300.0,109.20744074494405,23.02656914827325,661.6313171386719,341.7561539755121,386.25043040373475,0.1805518834431333,0.18971855010979996,7757.2847450951995,5.935310253915333,Q013
-1600.0,2800.0,549.7760467529297,249.7760467529297,300.0,109.21524439662937,23.033793007582553,549.7760467529297,320.5125516428604,355.6855555389379,0.17489683780981888,0.18406350447648553,7775.792167167865,5.708451220411263,Q014
-2800.0,3600.0,816.8016967773438,516.8016967773438,300.0,109.20353891910139,23.041016866891855,816.8016967773438,476.32220422077273,533.7473456188848,0.2555414843326945,0.2647081509993612,7511.864233093,2.672656502077956,Q015
2400.0,1600.0,548.6105651855469,248.61056518554688,300.0,109.25426265505595,23.0229572186186,548.6105651855469,297.5237093211328,332.59958975326174,0.16029201612423982,0.16945868279090648,7823.589765411577,6.66144316236884,Q016
