center,w_N,w_E,w_T,delta,vertices,lower_bound,N,E_kWh,T_s,max_regret,min_return_soc
偏重时间,0.2,0.2,0.6,0.3333333333333333,6,0.0,18,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
偏重架次,0.6,0.2,0.2,0.3333333333333333,6,0.0,18,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
偏重能耗,0.2,0.6,0.2,0.3333333333333333,6,0.1333333333331919,19,59.03577746310044,34440.48875202747,0.1333333333333333,0.2308849309656894
等权,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,0.0,18,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
等权,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,6,0.0,18,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
等权,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.0,18,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
等权,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,6,0.3333333333333002,18,59.133133080893884,32776.5167822769,0.33333333333333326,0.2308849309656894
等权,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,3,0.9999999999999697,18,59.133133080893884,32776.5167822769,1.0,0.2308849309656894
