region,N_cap,T_cap_s,LP_E_lower_kWh,status,N,E_kWh,T_s,absolute_gap_kWh,relative_gap,seconds
1,18,,57.358018315801765,整数最优,18.0,59.133133080893884,32776.5167822769,1.7751147650921197,0.030018953378705134,0.06545210001058877
2,18,32776.5157822769,57.35801831580176,整数不可行,,,,,,0.031248199986293912
3,19,,57.358018315801765,整数最优,19.0,59.03577746310044,34440.48875202747,1.6777591472986728,0.02841936228158145,0.06450189999304712
4,19,34440.487752027475,57.35801831580176,整数最优,18.0,59.133133080893884,32776.5167822769,1.7751147650921268,0.030018953378705252,0.1297665999736637
5,19,32776.5157822769,57.35801831580176,整数不可行,,,,,,0.031979600025806576
