sortie,zone,vehicle,boxes,mass,volume,fly_s,operation_s,prep_load_s,handoff_s,energy,horizontal_energy,climb_energy,return_soc,pattern,rho
Q1-001,S001,C,S001-HYG-01;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,76.0,0.17,618.175045862023,1494.1750458620231,480.0,396.0,2.9176235505114585,2.813798830918792,0.10382471959266666,0.6352970561860677,P00039,0.2
Q1-002,S001,C,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-02;S001-MED-01;S001-MED-02;S001-WAT-06;S001-WAT-07;S001-WAT-08,78.0,0.224,618.175045862023,1692.1750458620231,570.0,504.0,2.9958116355581934,2.890886647180686,0.10492498837750754,0.6255235455552258,P00185,0.2
Q1-003,S002,C,S002-FOD-01;S002-HYG-01;S002-WAT-01;S002-WAT-02;S002-WAT-03,56.0,0.14400000000000002,1231.8421660245544,2041.8421660245544,450.0,360.0,5.7213937786974585,5.6113614466513315,0.11003233204612733,0.2848257776628177,P00237,0.2
Q1-004,S002,B,S002-FOD-02;S002-MED-01;S002-WAT-04,25.0,0.067,1186.7240813077574,1816.7240813077574,390.0,240.0,2.713501539552739,2.6297554415016675,0.08374609805107118,0.3216246151118153,P00256,0.2
Q1-005,S003,C,S003-FOD-01;S003-HYG-01;S003-WAT-01;S003-WAT-02;S003-WAT-03,56.0,0.14400000000000002,1560.1777110992605,2370.1777110992607,450.0,360.0,5.765455505147942,5.499530815636071,0.2659246895118714,0.2793180618565072,P00318,0.2
Q1-006,S003,B,S003-FOD-02;S003-MED-01;S003-WAT-04,25.0,0.067,1450.6096650380628,2080.6096650380628,390.0,240.0,2.7801472884277274,2.577346197642595,0.20280109078513253,0.30496317789306815,P00337,0.2
Q1-007,S004,C,S004-FOD-01;S004-HYG-01;S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03,59.0,0.156,1425.054718772446,2301.054718772446,480.0,396.0,6.152920552274485,5.975980071666286,0.17694048060819836,0.2308849309656894,P00414,0.2
Q1-008,S005,C,S005-FOD-01;S005-HYG-01;S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03,59.0,0.156,1001.1887154914712,1877.1887154914712,480.0,396.0,4.222182349592158,4.090476080189082,0.13170626940307617,0.47222720630098025,P00465,0.2
Q1-009,S006,C,S006-FOD-01;S006-HYG-01;S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03,59.0,0.156,685.5526244866226,1561.5526244866226,480.0,396.0,2.59798064071706,2.4681071389614515,0.12987350175560847,0.6752524199103676,P00516,0.2
Q1-010,S007,C,S007-FOD-01;S007-HYG-01;S007-MED-01;S007-WAT-01;S007-WAT-02,45.0,0.129,1097.6006984106912,1907.6006984106912,450.0,360.0,3.411075641855823,3.200721678673755,0.21035396318206787,0.5736155447680221,P00559,0.2
Q1-011,S008,C,S008-FOD-01;S008-HYG-01;S008-MED-01;S008-WAT-01;S008-WAT-02,45.0,0.129,1389.7115246008334,2199.7115246008334,450.0,360.0,5.836066297505489,5.70244666202321,0.1336196354822795,0.27049171281181383,P00602,0.2
Q1-012,S009,B,S009-FOD-01;S009-MED-01;S009-WAT-01,25.0,0.067,928.4628643343575,1558.4628643343576,390.0,240.0,2.096289967733762,2.0243519304347117,0.07193803729905023,0.4759275080665595,P00621,0.2
Q1-013,S010,B,S010-FOD-01;S010-MED-01;S010-WAT-01,25.0,0.067,925.4035197802173,1555.4035197802173,390.0,240.0,1.8232594430204312,1.697694989210905,0.12556445380952624,0.5441851392448922,P00641,0.2
Q1-014,S011,B,S011-FOD-01;S011-MED-01;S011-WAT-01,25.0,0.067,558.4247628605204,1188.4247628605203,390.0,240.0,1.073963183411491,0.9963704279602887,0.0775927554512024,0.7315092041471272,P00661,0.2
Q1-015,S012,B,S012-FOD-01;S012-MED-01;S012-WAT-01,25.0,0.067,1292.8268141491872,1922.8268141491872,390.0,240.0,2.7526443904556688,2.6225193797480255,0.13012501070764332,0.3118389023860828,P00681,0.2
Q1-016,S013,B,S013-FOD-01;S013-MED-01;S013-WAT-01,25.0,0.067,880.5115887445247,1510.5115887445247,390.0,240.0,1.8248637585718628,1.7207094039910895,0.10415435458077327,0.5437840603570343,P00701,0.2
Q1-017,S014,B,S014-FOD-01;S014-MED-01;S014-WAT-01,25.0,0.067,1239.7476752786915,1869.7476752786915,390.0,240.0,2.1403652207656543,1.9229562237131437,0.21740899705251063,0.46490869480858643,P00721,0.2
Q1-018,S015,B,S015-FOD-01;S015-MED-01;S015-WAT-01,25.0,0.067,1198.3275601736595,1828.3275601736595,390.0,240.0,2.3075883370944723,2.132380735723131,0.1752076013713413,0.4231029157263819,P00741,0.2
