G,epsilon,status,Q,B,partition_code,LP_status,LP_bound,LP_bound_exact,gap,MILP_gap,dual_y_exact,dual_t_exact
2,107,EXACT_ENUM_MILP_AGREE,92,0.7687312320784564,0+2+3|1,0,0.7687312320784564,1342609465160285732/1746526496042324967,0.0,0.0,"[""953385770693977/12500000000000000"", ""953385770693977/12500000000000000"", ""0"", ""0"", ""30809475438371003/100000000000000000""]",0
2,91,EXACT_ENUM_MILP_AGREE,89,0.8134357535393429,0+3|1+2,0,0.7836327392320852,171079417779382836689928046403606167/218315812005290620875000000000000000,0.029803014307257746,0.0,"[""94236498389789/625000000000000"", ""7784560452569591/10000000000000000"", ""11176130365221637/500000000000000000"", ""9265100957699501/1000000000000000000"", ""5894090429217731/10000000000000000""]",-14901507153628849/1000000000000000000
2,88,EXACT_ENUM_MILP_AGREE,80,0.9552954785391135,0+1+3|2,0,0.829197945205984,1448216181766102981474613388605083699/1746526496042324967000000000000000000,0.12609753333312945,0.0,"[""15508181998872383/100000000000000000"", ""4137575312493301/5000000000000000"", ""11176130365221623/500000000000000000"", ""3402252314962051/200000000000000000"", ""5971552035388837/10000000000000000""]",-15762191666641147/1000000000000000000
2,79,INTEGER_INFEASIBLE,,,,2,,,,,,
3,107,EXACT_ENUM_MILP_AGREE,98,0.8265484240588423,0+3|1|2,0,0.8265484240588422,240598120480132584441498552147516233/291087749340387494500000000000000000,1.9525045147834107e-17,0.0,"[""-14300786560409659/250000000000000000"", ""4081855300735529/25000000000000000"", ""-2095524443479057/125000000000000000"", ""-6379223090553887/500000000000000000"", ""1/4""]",0
3,97,EXACT_ENUM_MILP_AGREE,89,0.9409547165421195,0+1|2|3,0,0.8392602343347618,244298372723392030240429540838917321/291087749340387494500000000000000000,0.10169448220735766,0.0,"[""12076219762123697/100000000000000000"", ""1775694795513687/2000000000000000"", ""838209777391621/50000000000000000"", ""-3189611545276947/250000000000000000"", ""911015731208193/2500000000000000""]",-12711810275919689/1000000000000000000
3,88,INTEGER_INFEASIBLE,,,,2,,,,,,
