方案,架次数N,能耗kWh,最晚返场s,加权迟到s,普通物资迟到箱数,遗憾下界,遗憾上界
原发布方案,20,60.7049721691,9163.54886305,602.543855487,6,,
固定原资源修正,20,60.7049721691,9163.54886305,520.799807217,6,,
架次侧重基准,20,60.7049721691,9163.54886305,520.799807217,6,0.386959503299,0.914529914587
能耗侧重基准,20,60.7049721691,9163.54886305,520.799807217,6,0.386959503299,0.914529914587
完成时间侧重基准,28,75.711315969,7567.09409694,200.565886509,5,0.217908462985,0.527570411288
及时性侧重基准,24,65.5536541892,9029.28137525,54.2599550222,2,0.183488867092,0.71105927838
最终代表方案,28,75.711315969,7567.09409694,200.565886509,5,0.217908462985,0.527570411288
