eta,N,E_kWh,T_s,max_regret,min_return_soc
0.6,18,59.644280876707406,32776.5167822769,0.0,0.22646141895048444
0.66,18,59.36547298808185,32776.5167822769,0.0,0.2288742436860508
0.72,18,59.133133080893884,32776.5167822769,0.0,0.2308849309656894
0.78,18,58.93653777481174,32776.5167822769,0.031201622602912704,0.23258628174076823
0.84,18,58.76802751245563,32776.5167822769,0.05794587054822453,0.2340445824051216
