id,N,E_kWh,C_joint_s,L_s
CA01,24.0,65.11205028199753,9165.154435126618,465.2583642491526
CA03,24.0,64.90750468311684,9163.548863152573,602.5438555866732
CA04,24.0,65.14636262795766,9163.548863152573,465.2583643491526
CA05,24.0,64.85204587579615,9165.15443502662,602.5438554866731
CA06,25.0,64.63787853587301,9163.548863152573,602.5438555866731
CA07,25.0,64.99970719690505,9163.548863152573,465.2583643491526
