seed,iteration,operator,solver_returned,w_random,w_communication,w_energy,w_relay_linked
202631,1,relay_linked,False,1.0,1.0,1.0,0.8300000000000001
202631,2,relay_linked,False,1.0,1.0,1.0,0.6940000000000002
202631,3,energy,True,1.0,1.0,1.1,0.6940000000000002
202631,4,random,True,1.1,1.0,1.1,0.6940000000000002
202631,5,global_resource_retime,False,1.0300000000000002,1.0,1.1,0.6940000000000002
202631,6,communication,False,1.0300000000000002,0.8300000000000001,1.1,0.6940000000000002
202631,7,energy,False,1.0300000000000002,0.8300000000000001,1.0300000000000002,0.6940000000000002
202631,8,communication,False,1.0300000000000002,0.6940000000000002,1.0300000000000002,0.6940000000000002
202632,1,random,True,1.1,1.0,1.0,1.0
202632,2,energy,False,1.1,1.0,0.8300000000000001,1.0
202632,3,communication,False,1.1,0.8300000000000001,0.8300000000000001,1.0
202632,4,relay_linked,False,1.1,0.8300000000000001,0.8300000000000001,0.8300000000000001
202632,5,global_resource_retime,False,1.1,0.6940000000000002,0.8300000000000001,0.8300000000000001
202632,6,random,False,1.0300000000000002,0.6940000000000002,0.8300000000000001,0.8300000000000001
202632,7,communication,True,1.0300000000000002,0.6552000000000001,0.8300000000000001,0.8300000000000001
202632,8,relay_linked,False,1.0300000000000002,0.6552000000000001,0.8300000000000001,0.6940000000000002
202633,1,relay_linked,True,1.0,1.0,1.0,1.1
202633,2,communication,False,1.0,0.8300000000000001,1.0,1.1
202633,3,energy,True,1.0,0.8300000000000001,1.1,1.1
202633,4,random,True,1.5,0.8300000000000001,1.1,1.1
202633,5,global_resource_retime,False,1.5,0.8300000000000001,1.1,1.0300000000000002
202633,6,random,True,1.7000000000000002,0.8300000000000001,1.1,1.0300000000000002
202633,7,random,False,1.6933333333333338,0.8300000000000001,1.1,1.0300000000000002
202633,8,random,True,1.7796666666666672,0.8300000000000001,1.1,1.0300000000000002
202634,1,energy,False,1.0,1.0,0.8300000000000001,1.0
202634,2,communication,False,1.0,0.8300000000000001,0.8300000000000001,1.0
202634,3,relay_linked,False,1.0,0.8300000000000001,0.8300000000000001,0.8300000000000001
202634,4,relay_linked,False,1.0,0.8300000000000001,0.8300000000000001,0.6940000000000002
202634,5,global_resource_retime,False,0.8300000000000001,0.8300000000000001,0.8300000000000001,0.6940000000000002
202634,6,random,False,0.6940000000000002,0.8300000000000001,0.8300000000000001,0.6940000000000002
202634,7,communication,False,0.6940000000000002,0.6940000000000002,0.8300000000000001,0.6940000000000002
202634,8,energy,False,0.6940000000000002,0.6940000000000002,0.6940000000000002,0.6940000000000002
202641,1,relay_linked,False,1.0,1.0,1.0,0.8300000000000001
202641,2,relay_linked,False,1.0,1.0,1.0,0.6940000000000002
202641,3,relay_linked,False,1.0,1.0,1.0,0.5852000000000002
202641,4,random,True,1.1,1.0,1.0,0.5852000000000002
202641,5,global_resource_retime,False,1.0300000000000002,1.0,1.0,0.5852000000000002
202641,6,random,True,1.0240000000000002,1.0,1.0,0.5852000000000002
202641,7,random,True,1.1442000000000003,1.0,1.0,0.5852000000000002
202641,8,random,False,1.1753600000000004,1.0,1.0,0.5852000000000002
202642,1,relay_linked,False,1.0,1.0,1.0,0.8300000000000001
202642,2,energy,False,1.0,1.0,0.8300000000000001,0.8300000000000001
202642,3,communication,False,1.0,0.8300000000000001,0.8300000000000001,0.8300000000000001
202642,4,random,True,1.1,0.8300000000000001,0.8300000000000001,0.8300000000000001
202642,5,global_resource_retime,False,1.1,0.8300000000000001,0.8300000000000001,0.6940000000000002
202642,6,energy,False,1.1,0.8300000000000001,0.6940000000000002,0.6940000000000002
202642,7,communication,False,1.1,0.6940000000000002,0.6940000000000002,0.6940000000000002
202642,8,relay_linked,False,1.1,0.6940000000000002,0.6940000000000002,0.5852000000000002
202643,1,relay_linked,True,1.0,1.0,1.0,1.1
202643,2,energy,True,1.0,1.0,1.5,1.1
202643,3,random,True,1.1,1.0,1.5,1.1
202643,4,random,True,1.1800000000000002,1.0,1.5,1.1
202643,5,global_resource_retime,False,1.1440000000000001,1.0,1.5,1.1
202643,6,communication,False,1.1440000000000001,0.8300000000000001,1.5,1.1
202643,7,energy,True,1.1440000000000001,0.8300000000000001,1.9000000000000004,1.1
202643,8,random,True,1.1402,0.8300000000000001,1.9000000000000004,1.1
202644,1,random,False,0.8300000000000001,1.0,1.0,1.0
202644,2,communication,False,0.8300000000000001,0.8300000000000001,1.0,1.0
202644,3,random,False,0.6940000000000002,0.8300000000000001,1.0,1.0
202644,4,relay_linked,False,0.6940000000000002,0.8300000000000001,1.0,0.8300000000000001
202644,5,global_resource_retime,False,0.6940000000000002,0.8300000000000001,1.0,0.6940000000000002
202644,6,communication,False,0.6940000000000002,0.6940000000000002,1.0,0.6940000000000002
202644,7,relay_linked,False,0.6940000000000002,0.6940000000000002,1.0,0.5852000000000002
202644,8,relay_linked,False,0.6940000000000002,0.6940000000000002,1.0,0.49816000000000016
