iteration,cumulative_solver_s,raw_dual_bound_s,running_LB_s,incumbent_returned,accepted_as_feasible
1,300.1603013999993,6336.724886273685,6336.724886273685,True,False
2,600.3690925999545,6375.970958620064,6375.970958620064,True,False
3,900.6808098999318,6413.192909211787,6413.192909211787,True,False
4,1201.0806999999331,,6413.192909211787,False,False
5,7080.384235299949,6466.957058329807,6466.957058329807,True,False
