route_id,time_s,direct_margin_dB,phase
Q3-T001,480.0,45.92517525248826,爬升
Q3-T001,490.59545952690974,65.70268977304471,爬升
Q3-T001,501.19091905381947,51.58147388640762,爬升
Q3-T001,511.78637858072915,46.46040845685677,爬升
Q3-T001,522.3818381076389,43.26039317144625,爬升
Q3-T001,532.9772976345486,40.92710782789834,爬升
Q3-T001,543.5727571614583,39.08973610815727,爬升
Q3-T001,554.168216688368,37.57398639129073,爬升
Q3-T001,564.7636762152778,36.283859693523496,爬升
Q3-T001,575.3591357421875,35.16080841557533,爬升
Q3-T001,575.3591357421875,35.16080841557533,巡航
Q3-T001,585.4740527337775,33.45049303047492,巡航
Q3-T001,595.5889697253674,30.4913867144069,巡航
Q3-T001,605.7038867169574,27.882443201847508,巡航
Q3-T001,615.8188037085474,25.754641619664454,巡航
Q3-T001,625.9337207001373,23.999500293604584,巡航
Q3-T001,636.0486376917273,22.518646736147517,巡航
Q3-T001,646.1635546833173,21.242874967419084,巡航
Q3-T001,656.2784716749072,20.1245290675829,巡航
Q3-T001,666.3933886664972,19.13015691872839,巡航
Q3-T001,676.5083056580872,8.235637327797619,巡航
Q3-T001,686.6232226496771,7.4231109815068095,巡航
Q3-T001,696.7381396412671,6.679033801227121,巡航
Q3-T001,706.8530566328571,5.99291422497474,巡航
Q3-T001,716.967973624447,5.356472680202032,巡航
Q3-T001,727.082890616037,4.763067693765379,巡航
Q3-T001,737.197807607627,4.207294667416903,巡航
Q3-T001,747.3127245992171,3.6846992403839636,巡航
Q3-T001,757.427641590807,3.191568465773358,巡航
Q3-T001,767.542558582397,2.7247759615016633,巡航
Q3-T001,777.6574755739869,2.2816652335986305,巡航
Q3-T001,787.7723925655769,1.8599604785582073,巡航
Q3-T001,787.7723925655769,1.8599604785582073,下降
Q3-T001,800.596852404444,1.8644530335272407,下降
Q3-T001,813.4213122433113,1.8683888800624544,下降
Q3-T001,813.4213122433113,1.8683888800624544,物资投送
Q3-T001,823.5751583971575,1.8683888800624544,物资投送
Q3-T001,833.7290045510035,1.8683888800624544,物资投送
Q3-T001,843.8828507048497,1.8683888800624544,物资投送
Q3-T001,854.0366968586959,1.8683888800624544,物资投送
Q3-T001,864.190543012542,1.8683888800624544,物资投送
Q3-T001,874.3443891663882,1.8683888800624544,物资投送
Q3-T001,884.4982353202344,1.8683888800624544,物资投送
Q3-T001,894.6520814740804,1.8683888800624544,物资投送
Q3-T001,904.8059276279266,1.8683888800624544,物资投送
Q3-T001,914.9597737817728,1.8683888800624544,物资投送
Q3-T001,925.1136199356189,1.8683888800624544,物资投送
Q3-T001,935.2674660894651,1.8683888800624544,物资投送
Q3-T001,945.4213122433113,1.8683888800624544,物资投送
Q3-T001,955.5751583971573,1.8683888800624544,物资投送
Q3-T001,965.7290045510035,1.8683888800624544,物资投送
Q3-T001,975.8828507048497,1.8683888800624544,物资投送
Q3-T001,986.0366968586959,1.8683888800624544,物资投送
Q3-T001,996.190543012542,1.8683888800624544,物资投送
Q3-T001,1006.3443891663882,1.8683888800624544,物资投送
Q3-T001,1016.4982353202342,1.8683888800624544,物资投送
Q3-T001,1026.6520814740804,1.8683888800624544,物资投送
Q3-T001,1036.8059276279266,1.8683888800624544,物资投送
Q3-T001,1046.9597737817728,1.8683888800624544,物资投送
Q3-T001,1057.1136199356188,1.8683888800624544,物资投送
Q3-T001,1067.267466089465,1.8683888800624544,物资投送
Q3-T001,1077.4213122433111,1.8683888800624544,物资投送
Q3-T001,1087.5751583971573,1.8683888800624544,物资投送
Q3-T001,1097.7290045510035,1.8683888800624544,物资投送
Q3-T001,1107.8828507048497,1.8683888800624544,物资投送
Q3-T001,1118.036696858696,1.8683888800624544,物资投送
Q3-T001,1128.190543012542,1.8683888800624544,物资投送
Q3-T001,1138.344389166388,1.8683888800624544,物资投送
