route_id,time_s,provider,margin_dB
Q3-T001,480.0,G01,45.92517525248826
Q3-T001,575.3591357421875,G01,35.16080841557533
Q3-T001,575.3591357421875,G01,35.16080841557533
Q3-T001,787.7723925655769,G01,1.8599604785582073
Q3-T001,787.7723925655769,G01,1.8599604785582073
Q3-T001,813.4213122433113,G01,1.8683888800624544
Q3-T001,813.4213122433113,G01,1.8683888800624544
Q3-T001,1209.4213122433111,G01,1.8683888800624544
Q3-T001,1209.4213122433111,G01,1.8683888800624544
Q3-T001,1229.9404479854986,G01,1.8599604785582073
Q3-T001,1229.9404479854986,G01,1.8599604785582073
Q3-T001,1442.3537048088879,G01,35.16080841557533
Q3-T001,1442.3537048088879,G01,35.16080841557533
Q3-T001,1561.5526244866223,G01,45.92517525248826
Q3-T003,390.0,G01,45.92517525248826
Q3-T003,544.7491292317709,G01,28.993277511644692
Q3-T003,544.7491292317709,G01,28.993277511644692
Q3-T003,754.9322580434143,G01,1.8866083148087114
Q3-T003,802.8222863718546,G01,0.13227061600770185
Q3-T003,806.8341108106792,G01,0.0
Q3-T003,854.4369177998714,Q3-R001,3.6748289855268013
Q3-T003,880.2442335138797,Q3-R001,3.6748289855268013
Q3-T003,906.0515492278873,Q3-R001,3.6748289855268013
Q3-T003,906.0515492278873,Q3-R001,3.6748289855268013
Q3-T003,906.0515492278881,Q3-R001,3.6748289855268013
Q3-T003,938.1778675872631,Q3-R001,3.6748289855268013
Q3-T003,970.3041859466381,Q3-R001,0.6610676481568447
Q3-T003,1002.4305043060124,Q3-R001,0.6127240211423555
Q3-T003,1002.4305043060124,Q3-R001,0.6127240211423555
Q3-T003,1242.4305043060124,Q3-R001,0.6127240211423555
Q3-T003,1242.4305043060124,Q3-R001,0.6127240211423555
Q3-T003,1269.2024362721588,Q3-R001,0.6610676481568447
Q3-T003,1295.9743682383046,Q3-R001,3.6748289855268013
Q3-T003,1322.7463002044499,Q3-R001,3.6748289855268013
Q3-T003,1322.7463002044499,Q3-R001,3.6748289855268013
Q3-T003,1322.7463002044503,Q3-R001,3.6748289855268013
Q3-T003,1348.5536159184587,Q3-R001,3.6748289855268013
Q3-T003,1374.360931632467,Q3-R001,3.6748289855268013
Q3-T003,1421.963738621658,G01,0.0
Q3-T003,1425.9755630604839,G01,0.13227061600774448
Q3-T003,1473.8655913889222,G01,1.886608314808683
Q3-T003,1684.0487202005663,G01,28.993277511644692
Q3-T003,1684.0487202005663,G01,28.993277511644692
Q3-T003,1869.7476752786913,G01,45.92517525248826
Q3-T004,330.0,G01,45.92517525248826
Q3-T004,378.45220336914065,G01,39.982830377148545
Q3-T004,378.45220336914065,G01,39.982830377148545
Q3-T004,632.9541706620554,G01,2.2410165102830177
Q3-T004,632.9541706620554,G01,2.2410165102830177
Q3-T004,668.5768147050242,G01,2.24771385877267
Q3-T004,668.5768147050242,G01,2.24771385877267
Q3-T004,848.5768147050242,G01,2.24771385877267
Q3-T004,848.5768147050242,G01,2.24771385877267
Q3-T004,878.2623514074982,G01,2.2410165102830177
Q3-T004,878.2623514074982,G01,2.2410165102830177
Q3-T004,1132.7643187004128,G01,39.982830377148545
Q3-T004,1132.7643187004128,G01,39.982830377148545
Q3-T004,1190.9069627433814,G01,45.92517525248826
Q3-T002,390.0,G01,45.92517525248826
Q3-T002,485.20033162434896,G01,33.461181216677716
Q3-T002,485.20033162434896,G01,33.461181216677716
Q3-T002,698.0612042976485,G01,1.8320849829547683
Q3-T002,738.2303552059569,G01,0.339293238716607
Q3-T002,748.3583560217763,G01,0.0
Q3-T002,778.1824641925266,Q3-R001,3.6748289855268013
Q3-T002,791.4998338547165,Q3-R001,3.6748289855268013
Q3-T002,818.1345731790963,Q3-R001,3.6748289855268013
