job,meta,status
及时性,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 21, 'selected_hard_routes': np.int64(7)}",no_feasible_schedule
随机03,"{'status': 0, 'mip_gap': 0.0003144231360034762, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
单点可行性,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 20, 'selected_hard_routes': np.int64(15)}",no_feasible_schedule
随机02,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机07,"{'status': 0, 'mip_gap': 0.0003639258648274324, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(12)}",no_feasible_schedule
随机05,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机08,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 21, 'selected_hard_routes': np.int64(7)}",no_feasible_schedule
完成时间,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(13)}",no_feasible_schedule
能耗,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(13)}",no_feasible_schedule
随机01,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(12)}",no_feasible_schedule
随机04,"{'status': 0, 'mip_gap': 0.0004957249356087667, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(12)}",no_feasible_schedule
随机11,"{'status': 0, 'mip_gap': 0.00033342768505508283, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 20, 'selected_hard_routes': np.int64(7)}",no_feasible_schedule
随机15,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
架次数,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 18, 'selected_hard_routes': np.int64(13)}",no_feasible_schedule
随机06,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机10,"{'status': 0, 'mip_gap': 0.0004903303929023008, 'nodes': 45, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机14,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机13,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 19, 'selected_hard_routes': np.int64(9)}",no_feasible_schedule
随机19,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 22, 'selected_hard_routes': np.int64(7)}",no_feasible_schedule
随机22,"{'status': 0, 'mip_gap': 0.0, 'nodes': 1, 'failure_mode': 'resource_or_first_deadline_milp', 'selected_routes': 21, 'selected_hard_routes': np.int64(7)}",no_feasible_schedule
